,title,pays,deadline,lien,remaining_times
64,"Appointment of Service Provider(s) for Skills Development Training (Soft Skills, Communications, Risk & Governance and Leadership & Management)",afrique-du-sud,2023-10-11,https://www.j360.info/appels-d-offres/39596424-appointment-of-service-providers-for-skills-development-training-soft-skills/,2.0 days
65,SUPPLY AND DELIVER OF FIVE (5) LAPTOPS,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39596414-supply-and-deliver-of-five-5-laptops/,4.0 days
66,Request for Quotation for Support and Maintenance of the ESRI ArcGIS system at Rand Water for a period of 12 months or 1440 hours.,afrique-du-sud,2023-10-09,https://www.j360.info/appels-d-offres/39596417-request-for-quotation-for-support-and-maintenance-of-the-esri/,0.0 days
67,"PROVISION OF DEDICATED INTERNET CONNECTION, EMAIL OR DOMAIN HOSTING AND TELEPHONE SYSTEM FOR UDDA FOR THE PERIOD OF THREE YEARS",afrique-du-sud,2023-11-01,https://www.j360.info/appels-d-offres/39596409-provision-of-dedicated-internet-connection-email-or-domain-hosting-and/,23.0 days
68,"PROVISION FOR THE MULTI-UTILITY ONLINE VENDING SYSTEM INCLUDING THIRD-PARTY VENDING, TID AND REVENUE ENHANCEMENTOF ELECTRICAL VENDING SERVICES FOR 3 YEARS",afrique-du-sud,2023-11-02,https://www.j360.info/appels-d-offres/39596392-provision-for-the-multi-utility-online-vending-system-including-third-party-vending/,24.0 days
69,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF COMMUNICATIONS TOOL FOR A PERIOD OF SIXTY (60) MONTHS,afrique-du-sud,2023-10-12,https://www.j360.info/appels-d-offres/39596388-appointment-of-a-service-provider-for-the-provision-of-communications/,3.0 days
70,APPOINTMENT OF A PROFESSIONAL SERVICES PROVIDER TO DEVELOP A DETAILED PLAN FOR THE ICT INFRASTRUCTURE NETWORK AT FETAKGOMO TUBATSE SPECIAL ECONOMIC ZONE,afrique-du-sud,2023-10-20,https://www.j360.info/appels-d-offres/39596378-appointment-of-a-professional-services-provider-to-develop-a-detailed/,11.0 days
71,"Bid for the supply, delivery, installation, commissioning, and maintenance of telemetry systems for water supply systems for Midvaal Local Municipality on an as and when required basis from date of …",afrique-du-sud,2023-11-06,https://www.j360.info/appels-d-offres/39596373-bid-for-the-supply-delivery-installation-commissioning-and-maintenance-of/,28.0 days
72,The Provision of Institutionalised Training within Limlanga Cluster over a period of 5 years,afrique-du-sud,2023-10-26,https://www.j360.info/appels-d-offres/39596367-the-provision-of-institutionalised-training-within-limlanga-cluster-over-a/,17.0 days
73,"The Maintenance of CCTV security surveillance system, Access Control System, FSD System, EVAC System and Public Addressing System and the provision of spares on an ""as- and- when"" required for …",afrique-du-sud,2023-11-02,https://www.j360.info/appels-d-offres/39596360-the-maintenance-of-cctv-security-surveillance-system-access-control-system/,24.0 days
74,"REQUEST FOR QUOTATION TO APPOINT A SUITABLE AND QUALIFIED SERVICE PROVIDER FOR PRODUCTION OF FIXED DISPLAY MATERIAL, CAMPAIGN EXECUTION AND PROJECT MANAGEMENT: SECURING FLOOR SPACE, DESIGN, BUILDING, BREAKDOWN OF THE …",afrique-du-sud,2023-10-11,https://www.j360.info/appels-d-offres/39596362-request-for-quotation-to-appoint-a-suitable-and-qualified-service/,2.0 days
75,"APPOINTMENT OF A SERVICE PROVIDER TO DESIGN UMZINYATHI DISTRICT DEVELOPMENT AGENCY WEBSITE, HOSTING AND MAINTENANCE FOR THE PERIOD OF 12 MONTHS",afrique-du-sud,2023-10-10,https://www.j360.info/appels-d-offres/39596363-appointment-of-a-service-provider-to-design-umzinyathi-district-development/,1.0 days
76,Q 2023/054: RENEWAL OF ESRI MAINTENANCE AGREEMENT FOR 12 MONTHS,afrique-du-sud,2023-10-13,https://www.j360.info/appels-d-offres/39596355-q-2023054-renewal-of-esri-maintenance-agreement-for-12-months/,4.0 days
77,FuturArc Prize 2024: Architecture for Life After,afrique-du-sud,2024-02-08,https://www.j360.info/appels-d-offres/39587188-futurarc-prize-2024-architecture-for-life-after/,122.0 days
78,ELECTRONIC SAFE,afrique-du-sud,2023-10-09,https://www.j360.info/appels-d-offres/39586738-electronic-safe/,0.0 days
79,"SUPPLY, DELIVERY AND INSTALLATION OF REMOTE METER SETTING FRANKING MACHINE FOR TRFFIC CAMERA OFFICE",afrique-du-sud,2023-10-11,https://www.j360.info/appels-d-offres/39586734-supply-delivery-and-installation-of-remote-meter-setting-franking-machine/,2.0 days
80,Proposal for ICT Strategy Review Facilitation Services.,afrique-du-sud,2023-11-17,https://www.j360.info/appels-d-offres/39586733-proposal-for-ict-strategy-review-facilitation-services/,39.0 days
81,Proposal for Intranet Development and Implementation.,afrique-du-sud,2023-11-17,https://www.j360.info/appels-d-offres/39586728-proposal-for-intranet-development-and-implementation/,39.0 days
